GeoglowsID,Order,StationID,AssignedID,AssignmentReason
9000911,2,,28047010.0,Propagation-2
9000913,1,,,
9000948,2,,,
9000949,3,,,
9000960,6,,29037020.0,Propagation-1
9000963,1,,,
9000964,6,,29037020.0,Propagation-2
9000970,1,,,
9000975,2,,,
9000976,1,,,
9000978,1,,,
9000999,3,,,
9001009,2,,,
9001010,1,,,
9001011,2,28037130.0,28037130.0,spatial
9001012,1,,,
9001022,1,,,
9001032,1,,,
9001033,1,,,
9001039,6,,,
9001040,1,,,
9001046,6,,,
9001047,6,,,
9001049,1,,,
9001055,2,,,
9001056,1,,,
9001064,2,,28047010.0,Propagation-3
9001065,1,,,
9001089,2,,28037130.0,Propagation-2
9001090,1,,,
9001120,1,,,
9001123,1,,,
9001124,3,,,
9001128,1,,,
9001129,2,,,
9001130,1,,,
9001133,2,,,
9001139,1,,,
9001140,2,,28037130.0,Propagation-3
9001146,3,,,
9001153,1,,,
9001154,6,,,
9001155,2,,,
9001171,1,,,
9001176,1,,,
9001177,1,,,
9001182,2,,28037130.0,Propagation-4
9001183,3,,,
9001186,6,,29017010.0,Propagation-4
9001189,1,,,
9001199,2,,,
9001200,1,,,
9001202,2,,,
9001206,2,,,
9001207,1,,,
9001208,2,,,
9001209,6,,29017010.0,Propagation-3
9001210,2,,,
9001213,1,,,
9001214,3,,,
9001215,1,,,
9001217,1,,,
9001218,1,,,
9001219,3,,28047050.0,Propagation-1
9001222,3,,28047050.0,Propagation-2
9001223,2,,28047010.0,Propagation-4
9001224,1,,,
9001237,1,,,
9001239,1,,,
9001242,6,,29017010.0,Propagation-2
9001243,3,,28047050.0,Propagation-4
9001245,3,,,
9001246,2,,,
9001279,1,,,
9001280,1,28037060.0,28037060.0,spatial
9001281,3,,,
9001285,1,,,
9001286,1,,,
9001287,2,,,
9001290,1,,,
9001331,2,,,
9001332,1,,,
9001333,1,,,
9001336,3,28047050.0,28047050.0,spatial
9001353,6,29017010.0,29017010.0,spatial
9001358,1,,,
9001370,2,,,
9001371,1,,,
9001383,2,,,
9001387,1,,,
9001388,2,,,
9001390,6,,,
9001395,1,,,
9001396,3,,28037060.0,Propagation-2
9001400,1,,,
9001417,1,,,
9001418,6,,29017010.0,Propagation-4
9001419,2,,,
9001423,1,,,
9001424,1,,,
9001432,1,,,
9001433,1,,,
9001434,2,,,
9001456,1,,,
9001457,2,,,
9001458,3,,28047050.0,Propagation-2
9001460,6,,,
9001461,1,,,
9001462,1,,,
9001465,2,,,
9001466,1,,,
