GeoglowsID,Order,Drainage,StationID,AssignedID,AssignmentReason
9001120,1,95746132.83339998,,,
9001123,1,292523694.23,,,
9001124,3,5965868362.02,,,
9001128,1,104298497.846,,,
9001129,2,1643022875.5100002,,,
9001130,1,78775827.6864,,,
9001133,2,678616362.525,,,
9001139,1,151631042.588,,,
9001140,2,664943935.314,,,
9001146,3,6262508396.009999,,,
9001153,1,216766260.016,,,
9001154,6,260828457871.0,,,
9001155,2,1726404331.4499996,,,
9001171,1,413062057.986,,,
9001176,1,85841176.95030001,,,
9001177,1,105705398.738,,,
9001182,2,837496044.107,,,
9001183,3,7049014253.660002,,,
9001186,6,259021891958.00003,,,
9001189,1,96803532.9741,,,
9001199,2,312442595.11800003,,,
9001200,1,202079700.064,,,
9001202,2,748080658.889,,,
9001206,2,211234939.087,,,
9001207,1,93406346.9095,,,
9001208,2,920541418.393,,,
9001209,6,258916061305.99997,,,
9001210,2,354758107.207,,,
9001213,1,111641560.44,,,
9001214,3,7896515231.3,,,
9001215,1,143853411.174,,,
9001217,1,101282985.30900002,,,
9001218,1,159839519.292,,,
9001219,3,1279047971.35,,,
9001222,3,1391087672.01,,,
9001223,2,1417013709.8700001,,,
9001224,1,84881637.60550001,,,
9001237,1,211943150.00800005,,,
9001239,1,110729097.705,,,
9001242,6,258664569090.99994,,,
9001243,3,2816864461.78,,,
9001245,3,2982794768.22,,,
9001246,2,400392758.329,,,
9001279,1,190396256.292,,,
9001280,1,289859571.41400003,28037060.0,28037060.0,spatial
9001281,3,8067018137.280002,,,
9001285,1,393080549.97200006,,,
9001286,1,204090914.67500004,,,
9001287,2,435386383.546,,,
9001290,1,146743612.114,,,
9001331,2,1039003451.92,,,
9001332,1,72235233.26129998,,,
9001333,1,122635319.544,,,
9001336,3,3573704126.9299994,28047050.0,28047050.0,spatial
9001353,6,258223966435.0,29017010.0,29017010.0,spatial
9001358,1,114928331.70800002,,,
9001370,2,783948618.177,,,
9001371,1,125631469.52700002,,,
9001383,2,1198320594.95,,,
9001387,1,77949692.8941,,,
9001388,2,912156481.7519999,,,
9001390,6,257993723390.99997,,,
9001395,1,108834975.455,,,
9001396,3,8499567547.54,,,
9001400,1,463175549.088,,,
9001417,1,105933243.63599998,,,
9001418,6,257224543483.0,,,
9001419,2,735792826.881,,,
9001423,1,300375431.123,,,
9001424,1,124710898.51500002,,,
9001432,1,177542648.8,,,
9001433,1,225284648.885,,,
9001434,2,1413624481.27,,,
9001456,1,157452370.00300002,,,
9001457,2,275505484.029,,,
9001458,3,3824930843.56,,,
9001460,6,256557380012.99997,,,
9001461,1,242549441.827,,,
9001462,1,79528105.4278,,,
9001465,2,602793531.589,,,
9001466,1,153980568.68899998,,,
9001467,3,8714821966.11,,,
9001474,2,937778470.676,,,
9001489,2,440788412.645,,,
9001490,3,2415663583.98,,,
9001494,3,4113969973.32,,,
9001498,1,79563810.13390002,,,
9001503,2,493719497.802,,,
9001504,4,11162252951.9,,,
9001505,1,168409640.132,,,
9001518,1,94399725.4829,,,
9001519,1,90936852.0803,,,
9001524,1,142451823.33,,,
9001525,2,185502455.042,,,
9001526,1,117733053.24,,,
9001529,1,187780810.79400003,,,
9001530,1,95235320.8009,,,
9001539,6,256260235052.0,,,
9001541,1,81655103.8094,,,
9001556,2,347868610.304,,,
9001557,1,144466502.016,,,
9001569,2,630500106.136,28027050.0,28027050.0,spatial
9001579,1,260996793.00600004,,,
9001595,1,70005185.777,,,
9001602,2,272721176.413,,,
9001610,2,368791606.793,,,
9001618,3,4319805957.77,,,
9001619,2,537372947.654,,,
9001627,1,289452296.65,,,
9001631,1,97860498.3408,,,
9001632,2,438051770.35200006,,,
9001643,3,1226798490.9699998,,,
9001653,1,170718840.01,,,
9001662,1,154137182.174,,,
9001663,1,286183060.056,,,
9001672,1,80920345.284,,,
9001681,1,238619624.271,,,
9001694,2,455541535.12999994,,,
9001696,3,4897031382.69,,,
9001697,4,11691737272.6,,,
9001706,2,432445307.795,,,
9001729,2,528131632.898,,,
9001731,1,284064228.208,,,
9001737,1,87995315.9484,,,
9001738,2,217045201.04599997,,,
9001741,2,648584031.364,,,
9001742,4,16599886771.800003,,,
9001748,2,521671499.9800001,,,
9001754,2,1700178610.37,,,
9001755,2,584787821.4599999,,,
9001765,1,101879662.286,,,
9001766,2,741274736.6990001,,,
9001769,1,111957023.834,,,
