,COMID,sim_fdc_cluster,sim_ma_cluster
550,9006357,14,8
551,9006369,11,9
552,9006372,3,4
553,9006373,3,9
554,9006394,12,2
555,9006402,9,13
556,9006412,8,1
557,9006414,9,8
558,9006422,2,5
559,9006432,12,2
560,9006440,9,8
561,9006468,9,13
562,9006475,4,9
563,9006485,5,15
564,9006500,6,0
565,9006506,4,2
566,9006507,4,0
567,9006510,3,9
568,9006529,0,7
569,9006546,10,13
570,9006558,2,11
571,9006568,11,9
572,9006570,4,1
573,9006571,5,12
574,9006586,1,15
575,9006595,4,0
576,9006611,8,1
577,9006619,3,9
578,9006630,9,8
579,9006640,4,9
580,9006644,9,15
581,9006660,1,15
582,9006665,14,5
583,9006666,0,6
584,9006669,12,9
585,9006672,14,0
586,9006694,8,2
587,9006698,6,10
588,9006713,12,2
589,9006721,12,9
590,9006723,10,8
591,9006724,10,2
592,9006727,3,9
593,9006730,6,0
594,9006740,10,12
595,9006769,8,6
596,9006770,14,7
597,9006771,5,9
598,9006778,0,2
599,9006779,10,13
600,9006782,15,8
601,9006784,12,2
602,9006785,6,0
603,9006786,4,12
604,9006790,12,9
605,9006799,1,11
606,9006819,7,15
607,9006823,0,6
608,9006825,3,9
609,9006835,12,2
610,9006848,14,7
611,9006851,9,9
612,9006861,8,6
613,9006888,0,5
614,9006893,9,15
615,9006899,15,2
616,9006906,12,2
617,9006926,7,1
618,9006933,5,2
619,9006943,11,7
620,9006960,12,9
621,9006967,0,11
622,9007025,3,9
623,9007049,10,9
624,9007066,10,2
625,9007072,3,9
626,9007092,15,2
627,9007093,0,6
628,9007096,12,4
629,9007116,5,11
630,9007126,13,8
631,9007134,0,7
632,9007145,0,6
633,9007146,1,11
634,9007150,6,0
635,9007173,6,7
636,9007182,15,7
637,9007183,3,4
638,9007198,2,1
639,9007218,9,9
640,9007222,11,9
641,9007225,1,1
642,9007233,7,15
643,9007238,10,13
644,9007239,12,2
645,9007255,11,1
646,9007256,12,2
647,9007272,6,6
648,9007292,3,4
649,9007305,12,4
650,9007306,9,13
651,9007313,12,4
652,9007331,12,9
653,9007334,12,2
654,9007335,4,9
655,9007337,4,1
656,9007342,5,9
657,9007352,0,6
658,9007357,5,13
659,9007365,8,14
660,9007386,6,7
661,9007398,5,3
662,9007415,3,9
663,9007425,9,8
664,9007432,0,3
665,9007442,12,2
666,9007454,5,12
667,9007457,15,7
668,9007464,6,0
669,9007466,7,1
670,9007475,15,2
671,9007479,15,3
672,9007485,4,9
673,9007490,14,7
674,9007494,3,9
675,9007502,0,12
676,9007503,0,10
677,9007519,4,13
678,9007555,1,10
679,9007565,11,9
680,9007568,3,4
681,9007577,0,6
682,9007599,12,2
683,9007616,3,9
684,9007636,0,11
685,9007666,0,5
686,9007682,0,4
687,9007703,13,8
688,9007708,4,7
689,9007721,3,9
690,9007727,3,9
691,9007728,11,14
692,9007729,9,9
693,9007774,10,9
694,9007779,11,1
695,9007781,9,13
696,9007812,15,8
697,9007821,4,14
698,9007823,12,2
699,9007827,0,2
700,9007832,4,7
701,9007835,7,11
702,9007836,12,4
703,9007838,14,6
704,9007853,0,3
705,9007859,9,8
706,9007866,11,13
707,9007867,13,6
708,9007877,6,1
709,9007878,15,2
710,9007879,10,9
711,9007904,14,5
712,9007912,5,1
713,9007933,14,7
714,9007940,10,3
715,9007944,10,3
716,9007946,2,11
717,9007954,15,2
718,9007966,6,6
719,9007981,7,11
720,9007985,0,10
721,9007997,11,7
722,9007998,15,8
723,9008017,15,8
724,9008041,1,13
725,9008050,2,5
726,9008053,4,3
727,9008067,8,1
728,9008068,4,14
729,9008087,9,9
730,9008136,2,5
731,9008153,15,8
732,9008165,6,3
733,9008177,14,9
734,9008180,12,10
735,9008185,9,13
736,9008186,11,8
737,9008193,4,2
738,9008199,2,1
739,9008218,15,4
740,9008221,12,2
741,9008223,0,2
742,9008234,14,7
743,9008238,13,8
744,9008240,0,12
745,9008280,15,3
746,9008286,0,6
747,9008289,12,4
748,9008290,8,1
749,9008292,12,2
750,9008298,3,9
751,9008299,14,1
752,9008308,0,3
753,9008309,0,3
754,9008322,11,11
755,9008331,3,4
756,9008334,5,13
757,9008340,4,14
758,9008341,0,12
759,9008365,10,13
760,9008390,14,7
761,9008406,1,7
762,9008407,12,4
763,9008413,10,9
764,9008417,13,8
765,9008419,11,7
766,9008424,8,4
767,9008425,13,8
768,9008426,12,4
769,9008447,11,3
770,9008487,1,15
771,9008503,10,7
772,9008509,9,7
773,9008544,0,3
774,9008546,4,9
775,9008576,12,10
776,9008596,12,4
777,9008619,14,6
778,9008620,10,7
779,9008638,5,6
780,9008645,3,4
781,9008680,12,2
782,9008682,5,7
783,9008733,12,10
784,9008750,12,2
785,9008784,10,9
786,9008811,1,1
787,9008819,3,4
788,9008842,8,13
789,9008869,15,12
790,9008874,2,6
791,9008885,12,2
792,9008907,9,8
793,9008935,11,3
794,9008960,13,4
795,9009027,9,13
796,9009042,2,1
797,9009063,15,2
798,9009078,5,7
799,9009079,11,9
800,9009084,4,4
801,9009150,4,9
802,9009198,8,0
803,9009213,0,12
804,9009229,14,3
805,9009249,11,7
806,9009269,3,4
807,9009310,0,12
808,9009313,13,0
809,9009364,11,5
810,9009365,15,5
811,9009419,3,9
812,9009420,8,5
813,9009429,1,1
814,9009472,6,3
815,9009479,9,13
816,9009481,15,2
817,9009482,2,1
818,9009497,6,0
819,9009500,3,4
820,9009515,5,5
821,9009516,12,4
822,9009521,15,2
823,9009558,9,7
824,9009569,14,5
825,9009585,9,7
826,9009603,3,4
827,9009627,1,10
828,9009650,11,1
829,9009660,8,1
830,9009688,2,0
831,9009696,13,13
832,9009728,3,9
833,9009758,10,7
834,9009785,15,5
835,9009802,8,1
836,9009832,3,4
837,9009836,1,1
838,9009844,10,2
839,9009861,11,7
840,9009906,12,10
841,9009936,8,15
842,9009993,15,3
843,9009999,5,0
844,9010033,11,3
845,9010052,4,14
846,9010056,3,4
847,9010062,11,7
848,9010077,5,15
849,9010082,9,15
850,9010110,8,0
851,9010120,11,7
852,9010149,0,5
853,9010183,0,5
854,9010186,6,0
855,9010213,5,13
856,9010225,10,13
857,9010239,11,4
858,9010262,11,3
859,9010306,4,2
860,9010320,1,8
861,9010345,1,15
862,9010372,3,9
