StationID,GeoglowsID,AssignedID,AssignmentReason
23147020,9006357,23147020,spatial
23107040,9006276,23107040,spatial
23147040,9006076,23147040,spatial
26237110,9006089,26237110,spatial
23197690,9005867,23197690,spatial
23167010,9005895,23167010,spatial
27027060,9006033,27027060,spatial
26237050,9005677,26237050,spatial
23197700,9005496,23197700,spatial
23197290,9005476,23197290,spatial
24067020,9005439,24067020,spatial
23197130,9005397,23197130,spatial
26237040,9005322,26237040,spatial
23207040,9004917,23207040,spatial
27037030,9004968,27037030,spatial
26247030,9004963,26247030,spatial
23197370,9004839,23197370,spatial
27037020,9004934,27037020,spatial
26247050,9004879,26247050,spatial
23187280,9004355,23187280,spatial
26247010,9004417,26247010,spatial
25017020,9004322,25017020,spatial
26247020,9004026,26247020,spatial
25017010,9003998,25017010,spatial
27037010,9004014,27037010,spatial
25027050,9003936,25027050,spatial
25027270,9003786,25027270,spatial
23217030,9003692,23217030,spatial
25027120,9003631,25027120,spatial
25027910,9003508,25027910,spatial
25027200,9003397,25027200,spatial
25027410,9002953,25027410,spatial
25027640,9002988,25027640,spatial
25027360,9002669,25027360,spatial
25027490,9002607,25027490,spatial
25027930,9002605,25027930,spatial
25027330,9002766,25027330,spatial
25027020,9002565,25027020,spatial
25027530,9002605,25027530,spatial
25027690,9002250,25027690,spatial
25027680,9002185,25027680,spatial
28027050,9001569,28027050,spatial
28047050,9001336,28047050,spatial
29017010,9001353,29017010,spatial
28037060,9001280,28037060,spatial
28037130,9001011,28037130,spatial
28047040,9000856,28047040,spatial
28047010,9000855,28047010,spatial
29037020,9000896,29037020,spatial
28037030,9000743,28037030,spatial
28017050,9000678,28017050,spatial
29067120,9000639,29067120,spatial
29067150,9000545,29067150,spatial
29067130,9000545,29067130,spatial
29067010,9000508,29067010,spatial
28017110,9000490,28017110,spatial
29067050,9000400,29067050,spatial
28017080,9000433,28017080,spatial
