HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,Musk_kfac,Musk_k,Musk_x,order_,Aera_km2,Shape_Le_1
9014241,9014248,11385,9014241,16112.3492,171781150,16.0280551,57700.9985,20195.3495,0.3,1,277383.994,16112.3492
9014247,9014230,11399,9014247,3481.02957,104183920,3.46834975,12486.0591,4370.12068,0.3,1,277383.994,3481.02957
9014248,9013878,11398,9014248,24800.8535,2832129670,24.6617149,88782.1735,31073.7607,0.3,3,277383.994,24800.8535
9014252,9014279,11382,9014252,17606.3499,1707245539,17.514894,63053.6186,22068.7665,0.3,3,277383.994,17606.3499
9014254,9014239,11401,9014254,904.956782,70230473.7,0.898757,3235.52522,1132.43383,0.3,1,277383.994,904.956782
9014265,9014173,11402,9014265,12226.0946,707536995,12.1747353,43829.047,15340.1664,0.3,2,277383.994,12226.0946
9014271,9014239,11403,9014271,8237.37581,180108592,8.20804625,29548.9665,10342.1383,0.3,1,277383.994,8237.37581
9014276,9014126,11405,9014276,14409.6662,1.88E+10,14.3351175,51606.4231,18062.2481,0.3,4,277383.994,14409.6662
9014278,9014324,11107,9014278,8476.38486,78865954.5,8.42609038,30333.9254,10616.8739,0.3,1,277383.994,8476.38486
9014279,9014248,11400,9014279,20052.8049,2467504618,19.9829295,71938.5463,25178.4912,0.3,3,277383.994,20052.8049
9014297,9014265,11395,9014297,20664.6565,209092485,20.5956062,74144.1822,25950.4638,0.3,1,277383.994,20664.6565
9014305,9014198,11112,9014305,7140.85949,500758829,7.1047539,25577.114,8951.98991,0.3,2,277383.994,7140.85949
9014311,9014276,11404,9014311,5273.98241,105637642,5.25311375,18911.2095,6618.92332,0.3,1,277383.994,5273.98241
9014317,9014230,11406,9014317,4100.40238,1276970625,4.0713938,14657.0177,5129.95618,0.3,2,277383.994,4100.40238
9014324,9014305,11111,9014324,6073.33123,277909776,6.04728671,21770.2321,7619.58125,0.3,2,277383.994,6073.33123
9014339,9014276,11407,9014339,3001.64844,1.87E+10,2.98030336,10729.0921,3755.18224,0.3,4,277383.994,3001.64844
9014346,9014198,11117,9014346,7643.58247,7859690786,7.58897411,27320.3068,9562.10738,0.3,3,277383.994,7643.58247
9014347,9014339,11408,9014347,688.792585,1.80E+10,0.68353891,2460.74007,861.259026,0.3,4,277383.994,688.792585
9014356,9014339,11409,9014356,28886.8616,665204076,28.7629625,103546.665,36241.3328,0.3,2,277383.994,28886.8616
9014384,9014265,11411,9014384,9064.8486,414606596,9.02072103,32474.5957,11366.1085,0.3,2,277383.994,9064.8486
9014392,9014356,11412,9014392,13153.3301,188400454,13.0961296,47146.0667,16501.1234,0.3,1,277383.994,13153.3301
9014395,9014398,11118,9014395,39538.1534,241929758,39.363667,141709.201,49598.2204,0.3,1,277383.994,39538.1534
9014397,9014324,11120,9014397,15383.5219,187657308,15.30949,55114.1642,19289.9575,0.3,1,277383.994,15383.5219
9014398,9014346,11119,9014398,5618.30738,785944416,5.59499732,20141.9904,7049.69663,0.3,2,277383.994,5618.30738
9014399,9014279,11413,9014399,10520.0996,530803563,10.4619945,37663.1803,13182.1131,0.3,2,277383.994,10520.0996
9014406,9014384,11414,9014406,1260.41667,70070557.9,1.25221928,4507.9894,1577.79629,0.3,1,277383.994,1260.41667
9014410,9014346,11122,9014410,3991.0297,6999651809,3.96461118,14272.6002,4995.41009,0.3,3,277383.994,3991.0297
9014426,9014173,11415,9014426,16988.8394,160823565,16.8864167,60791.1001,21276.885,0.3,1,277383.994,16988.8394
9014446,9014398,11124,9014446,6128.45017,537300187,6.09877118,21955.5763,7684.45169,0.3,2,277383.994,6128.45017
9014448,9014347,11417,9014448,7046.4792,1.78E+10,7.00047154,25201.6975,8820.59414,0.3,4,277383.994,7046.4792
9014473,9014305,11121,9014473,40355.7448,159623059,40.168446,144606.406,50612.2419,0.3,1,277383.994,40355.7448
9014485,9014317,11418,9014485,12307.4927,1136439638,12.2362448,44050.4812,15417.6684,0.3,2,277383.994,12307.4927
9014486,9014347,11416,9014486,27412.7239,205581464,27.3065147,98303.453,34406.2085,0.3,1,277383.994,27412.7239
9014498,9014446,11126,9014498,3439.38537,311805754,3.4204646,12313.6726,4309.7854,0.3,2,277383.994,3439.38537
9014503,9014448,11419,9014503,4389.42709,1.72E+10,4.3695857,15730.5085,5505.67799,0.3,4,277383.994,4389.42709
9014504,9014446,11125,9014504,30963.2414,216375445,30.8414659,111029.277,38860.247,0.3,1,277383.994,30963.2414
9014512,9014384,11420,9014512,20574.2369,304524864,20.4976776,73791.6394,25827.0738,0.3,1,277383.994,20574.2369
9014527,9014410,11127,9014527,7157.9652,6033552791,7.11595025,25617.4209,8966.09731,0.3,3,277383.994,7157.9652
9014532,9014498,11128,9014532,2099.17124,97361871.4,2.08711445,7513.61201,2629.7642,0.3,1,277383.994,2099.17124
9014543,9014485,11422,9014543,8457.76356,118721760,8.42902751,30344.499,10620.5747,0.3,1,277383.994,8457.76356
9014544,9014399,11423,9014544,11880.4428,166319967,11.8245973,42568.5502,14898.9926,0.3,1,277383.994,11880.4428
9014572,9014448,11425,9014572,9871.04508,520086504,9.8230897,35363.1229,12377.093,0.3,2,277383.994,9871.04508
9014581,9014527,11131,9014581,5153.60751,5804361073,5.13450702,18484.2253,6469.47885,0.3,3,277383.994,5153.60751
9014589,9014581,11129,9014589,5014.73335,79455925.1,4.99463143,17980.6732,6293.23561,0.3,1,277383.994,5014.73335
9014637,9014503,11427,9014637,6177.69628,1.60E+10,6.14097901,22107.5244,7737.63355,0.3,4,277383.994,6177.69628
9014638,9014637,11426,9014638,1182.52178,69495297.4,1.17882963,4243.78667,1485.32533,0.3,1,277383.994,1182.52178
9014679,9014498,11136,9014679,22075.5839,155700662,21.9791826,79125.0572,27693.77,0.3,1,277383.994,22075.5839
